fips,state,total,white,black,native,asian,pac,other,two,hispanic,non_hispanic_white,year
0400000US26,Michigan,2155025,1538688,340494,10775,66806,0,36635,161627,185332,1428782,2020
0400000US27,Minnesota,1294252,934450,121660,16825,76361,0,38828,106129,116483,878797,2020
0400000US28,Mississippi,704381,362052,297249,3522,5635,0,11974,22540,33106,345851,2020
0400000US29,Missouri,1372817,1039222,178466,5491,24711,2746,27456,94724,94724,984310,2020
0400000US30,Montana,226774,184140,1587,22677,1134,0,2268,14967,14060,176430,2020
0400000US31,Nebraska,472911,375018,27429,6148,11823,0,16552,36414,85124,321579,2020
0400000US32,Nevada,685628,369553,71991,8913,41138,5485,96674,91874,280422,233799,2020
0400000US33,New Hampshire,256876,226308,5138,257,7193,0,1798,15926,16697,216290,2020
0400000US34,New Jersey,1947204,1158586,270661,5842,188879,0,161618,161618,519903,891819,2020
0400000US35,New Mexico,481570,313020,10113,52491,6742,482,42378,56825,294721,110280,2020
0400000US36,New York,4047411,2286787,655681,16190,327840,0,429026,331888,987568,1934662,2020
0400000US37,North Carolina,2295289,1381764,516440,29839,73449,2295,121650,174442,378723,1184369,2020
0400000US38,North Dakota,177495,139511,7455,14022,2307,177,2307,11537,11537,133476,2020
0400000US39,Ohio,2587248,1911976,375151,5174,59507,0,41396,196631,165584,1824010,2020
0400000US40,Oklahoma,953589,591225,74380,88684,19072,1907,36236,142085,169739,495866,2020
0400000US41,Oregon,863743,658172,19866,11229,33686,4319,41460,95012,192615,543294,2020
0400000US42,Pennsylvania,2637589,1896426,353437,5275,97591,0,89678,195182,329699,1738171,2020
0400000US44,Rhode Island,204788,142123,16997,614,7372,205,17202,20069,53450,116115,2020
0400000US45,South Carolina,1104975,653040,321548,3315,17680,1105,37569,70718,106078,597791,2020
0400000US46,South Dakota,214255,160263,6213,28710,3214,214,2143,13712,14569,152121,2020
0400000US47,Tennessee,1503947,1060283,285750,3008,28575,1504,37599,88733,147387,973054,2020
0400000US48,Texas,7363385,4874561,883606,36817,323989,7363,508074,736338,3622785,2297376,2020
0400000US49,Utah,924395,762626,12942,9244,13866,9244,54539,61934,163618,678506,2020
0400000US50,Vermont,115136,104198,2072,230,2072,0,576,5987,3109,102471,2020
0400000US51,Virginia,1862830,1117698,366978,3726,121084,1863,76376,173243,258933,983574,2020
0400000US53,Washington,1650399,1077711,69317,24756,122130,13203,117178,226105,359787,907719,2020
0400000US54,West Virginia,363673,326215,12365,364,2182,364,2909,19275,8728,320760,2020
0400000US55,Wisconsin,1272219,964342,110683,12722,43255,1272,44528,94144,157755,884192,2020
0400000US56,Wyoming,134226,115971,940,4161,940,134,3087,9127,20268,102951,2020
0400000US72,Puerto Rico,609311,364368,63368,1219,1219,0,123081,56666,600781,6093,2020
0400000US01,Alabama,1129024,718059,345481,6774,12419,0,16935,29355,63225,676285,2011
0400000US02,Alaska,185255,106522,6113,31123,8522,2408,2223,28344,14265,99111,2011
0400000US04,Arizona,1617353,1159642,74398,92189,37199,3235,160118,88954,692227,682523,2011
0400000US05,Arkansas,704401,505056,133836,4931,9157,2113,24654,24654,71145,463496,2011
0400000US06,California,9271954,5266470,565589,74176,992099,37088,1668952,676853,4691609,2605419,2011
0400000US08,Colorado,1208556,946299,53176,12086,31422,1209,87016,77348,361358,709422,2011
0400000US09,Connecticut,817230,586771,95616,2452,34324,0,56389,40862,154456,507500,2011
0400000US10,Delaware,204893,126829,53682,615,6761,205,6761,10245,25817,110642,2011
0400000US11,District of Columbia,102345,23028,68981,307,1740,102,5220,3070,12077,17399,2011
0400000US12,Florida,3988880,2696483,845643,11967,99722,3989,163544,171522,1076998,1854829,2011
0400000US13,Georgia,2470202,1336379,847279,4940,76576,0,118570,81517,301365,1178286,2011
0400000US15,Hawaii,301098,48176,4516,602,80393,38541,3613,125558,44261,40949,2011
0400000US16,Idaho,422330,379252,2956,5913,4223,845,10981,18160,69684,326883,2011
0400000US17,Illinois,3126869,2035592,528441,6254,131328,0,303306,125075,706672,1676002,2011
0400000US18,Indiana,1599384,1274709,172733,3199,23991,0,52780,70373,148743,1194740,2011
0400000US19,Iowa,720927,627927,28837,2884,13698,0,16581,30279,59116,593323,2011
0400000US20,Kansas,715955,572764,47969,7160,17183,716,27206,44389,115985,497589,2011
0400000US21,Kentucky,1016673,855022,92517,2033,13217,1017,15250,39650,46767,828588,2011
0400000US22,Louisiana,1108332,618449,420058,7758,15517,0,13300,31033,52092,586308,2011
0400000US23,Maine,276578,254452,5808,1659,3596,0,1106,9957,6361,250303,2011
0400000US24,Maryland,1351008,710630,441780,4053,70252,0,55391,70252,143207,639027,2011
0400000US25,Massachusetts,1416276,1067872,118967,2833,76479,0,83560,66565,202527,968733,2011
0400000US26,Michigan,2368113,1733459,393107,14209,63939,0,44994,116038,168136,1633998,2011
0400000US27,Minnesota,1276360,1008324,90622,17869,65094,0,26804,66371,98280,948335,2011
0400000US28,Mississippi,753036,389320,331336,4518,6024,0,6024,15814,24850,374259,2011
0400000US29,Missouri,1415996,1105893,198239,4248,21240,1416,21240,62304,77880,1059165,2011
0400000US30,Montana,221363,185059,1550,21029,1107,0,1550,11068,10847,178197,2011
0400000US31,Nebraska,452364,374105,24880,5881,8143,452,17190,21713,65593,332488,2011
0400000US32,Nevada,660139,447574,60073,7922,37628,4621,56772,46210,255474,266696,2011
0400000US33,New Hampshire,290046,264812,4641,580,7541,0,3481,9281,13632,255531,2011
0400000US34,New Jersey,2061683,1323600,313376,6185,173181,0,160811,84529,447385,1080322,2011
0400000US35,New Mexico,512921,336476,11284,57960,5642,0,72835,28211,295442,137463,2011
0400000US36,New York,4322447,2615080,765073,17290,289604,0,449534,185865,955261,2230383,2011
